,Sub_ID,Stim,BlockType,Alpha,Theta,Rho,neg_ll,BIC
66,caka98,58,nonsocial,0.07825600157497188,14.422039381024785,0.0,7.851028946134839,23.15677784163368
67,caka98,34,nonsocial,1.0,49.98774711704179,0.021977628906174534,7.101370842436777,21.657461634237556
68,caka98,13,social,0.44600201724504085,50.0,0.2781652472030679,2.864575221233428,13.183870391830858
69,caka98,73,social,0.021655626961384063,50.0,1.0,3.562466517880118,14.579652985124238
70,caka98,43,social,0.19990068063881405,50.0,1.0,0.8062737561183793,9.06726746160076
71,caka98,89,social,0.46514614838780566,50.0,0.27100885113979306,2.894673886864526,13.244067723093053
72,chga99,34,nonsocial,0.079839426655845,50.0,0.44146654871328145,6.43831262303953,20.331345195443063
73,chga99,68,nonsocial,0.024023059051910312,50.0,1.0,3.8002471850970863,15.055214319558175
74,chga99,64,nonsocial,1.0,33.97529932086713,0.008468012206731365,7.552945511413787,22.560610972191576
75,chga99,74,nonsocial,0.9196428816298821,50.0,0.034702763110024785,6.184203243742005,19.823126436848014
76,chga99,33,social,0.4006096523327813,19.565400539710314,0.25090619192907815,5.570815031377332,18.596350012118666
77,chga99,51,social,0.44600201724504085,50.0,0.2781652472030679,2.864575221233428,13.183870391830858
78,chga99,75,social,0.5284744560745009,4.441522801722044,1.0,5.390003486221875,18.234726921807752
79,chga99,73,social,0.338397470533741,50.0,0.47950505884157046,2.0252650562133967,11.505250061790795
80,chpo96,18,nonsocial,0.00214358639611282,50.0,0.0,8.264592405389838,23.983904760143677
81,chpo96,20,nonsocial,1.0,34.483500769327534,0.5200979893559271,5.3752784759195675,18.205276901203135
82,chpo96,26,nonsocial,1.0,1.0,0.9937800909305939,7.600285402430252,22.655290754224506
83,chpo96,44,nonsocial,0.3119534558871196,50.0,0.3182711204613475,3.6561729265461906,14.767065802456383
84,chpo96,71,social,1.0,39.14367193326212,0.5457739260869026,3.5639614106872863,14.582642770738573
85,chpo96,29,social,0.3116564909937634,50.0,0.33397102717488847,2.3611844958630566,12.177088941090116
86,chpo96,37,social,1.0,39.6736622805571,0.03157667647808499,6.153650161131651,19.762020271627303
87,chpo96,47,social,0.388975980322568,17.32264797185305,0.6596448286622053,5.112676540355093,17.680073030074187
88,clwe99,82,social,0.21600948715111865,50.0,1.0,0.7006317845661629,8.855983518496327
89,clwe99,60,social,0.12361215249106172,46.62261287797845,0.2851688344298934,5.509459389510708,18.473638728385417
90,clwe99,14,social,0.010106613782033643,50.0,0.9144543215976262,6.214253852929025,19.88322765522205
91,clwe99,74,social,0.3193074471613957,50.0,1.0,0.6936943195768014,8.842108588517604
