,Sub_ID,Stim,BlockType,Alpha,Theta,neg_ll,BIC
150,matr95,91,social,0.0,1.0,8.317766166719343,21.605345633014686
151,matr95,75,social,0.0,1.0,8.317766166719343,21.605345633014686
152,male99,48,nonsocial,1.0,1.2766312645071003,7.112226568991828,19.194266437559655
153,male99,44,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
154,male99,70,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
155,male99,50,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
156,male99,89,social,0.0,1.0,8.317766166719343,21.605345633014686
157,male99,97,social,0.8742228928801934,1.6958912754586024,7.055005865537733,19.079825030651467
158,male99,45,social,0.0,1.0,8.317766166719343,21.605345633014686
159,male99,73,social,0.0,1.0,8.317766166719343,21.605345633014686
160,copr92,42,social,0.0,1.0,8.317766166719343,21.605345633014686
161,copr92,84,social,0.0,1.0,8.317766166719343,21.605345633014686
162,copr92,32,social,0.11571806659474987,1.0,8.19969974900674,21.36921279758948
163,copr92,30,social,1.0,26.076821007925307,5.54518614509121,16.060185589758422
164,copr92,95,nonsocial,0.006270922445787509,50.0,7.571812639067533,20.113438577711065
165,copr92,35,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
166,copr92,85,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
167,copr92,23,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
168,hezi87,20,social,0.08300288270332166,5.55314354206759,7.944881355468235,20.85957601051247
169,hezi87,24,social,0.1707820773937912,2.904569726737378,7.462711379157544,19.89523605789109
170,hezi87,46,social,0.0,1.0,8.317766166719343,21.605345633014686
171,hezi87,44,social,0.9478564378870284,1.0,8.31585629840094,21.60152589637788
172,hezi87,21,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
173,hezi87,67,nonsocial,0.10263438265166527,1.0,8.23344686987044,21.43670703931688
174,hezi87,85,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
175,hezi87,19,nonsocial,1.0,1.8064141203979915,7.089272520817457,19.148358341210916
176,vima01,10,social,0.42306420966349445,2.853835978085984,5.02273884819046,15.01529099595692
177,vima01,94,social,0.018537756197480906,50.0,5.39006449631348,15.74994229220296
178,vima01,50,social,0.5926377118426552,2.9591315737287367,4.559113915914714,14.08804113140543
179,vima01,92,social,0.03134385809656538,50.0,3.5725035192769297,12.11482033812986
180,vima01,41,nonsocial,0.04232789793123962,50.0,3.2203111882940414,11.410435676164084
181,vima01,47,nonsocial,0.03179410595961322,50.0,3.572838940916269,12.115491181408538
182,vima01,55,nonsocial,0.19991039640006433,50.0,0.8062597495924586,6.582332798760918
183,vima01,13,nonsocial,0.31203645109744804,50.0,0.693850494475958,6.357514288527916
184,anfi01,48,social,0.19991039941885153,50.0,0.8062597495924583,6.582332798760917
185,anfi01,58,social,0.24189304606337303,50.0,0.7051439644672938,6.380101228510588
186,anfi01,34,social,1.0,25.023068976757813,0.6931508646039614,6.356115028783924
187,anfi01,14,social,0.43591979017911386,50.0,0.6933163998802031,6.356446099336407
188,anfi01,43,nonsocial,0.004806126773731039,50.0,7.794326319225802,20.558465938027606
189,anfi01,59,nonsocial,0.012854359339824921,50.0,5.093604808874002,15.157022917324003
190,anfi01,57,nonsocial,0.011220879837843842,50.0,5.818298332108808,16.606409963793617
191,anfi01,11,nonsocial,0.02310610247812665,50.0,7.528563267054783,20.026939833685567
192,leas96,32,social,0.008936359348479797,50.0,7.783003799342133,20.535820898260265
193,leas96,86,social,0.7425113152582583,1.1118412845115142,7.414374952332727,19.798563204241454
194,leas96,76,social,0.009892755402069579,50.0,7.294570677605417,19.558954654786834
195,leas96,84,social,0.0021853378738194043,50.0,8.263466762973986,21.49674682552397
196,leas96,65,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
197,leas96,19,nonsocial,0.2806303884396122,2.8825944276060724,6.750976169183043,18.471765637942088
198,leas96,39,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
199,leas96,55,nonsocial,0.6757159681049603,50.0,0.6936028698602396,6.35701903929648
200,leal92,28,nonsocial,0.0077113757587471505,50.0,7.162003706098514,19.29382071177303
201,leal92,34,nonsocial,1.0,2.90784852872238,4.96539985006488,14.90061299970576
202,leal92,84,nonsocial,0.5057642783358466,50.0,1.388310232412826,7.746433764401653
203,leal92,16,nonsocial,0.11215657985441212,50.0,1.6989092659216842,8.36763183141937
204,leal92,65,social,0.0,1.0,8.317766166719343,21.605345633014686
205,leal92,29,social,1.0,1.5990321045807254,6.321747585727682,17.613308471031363
206,leal92,41,social,0.0,1.0,8.317766166719343,21.605345633014686
207,leal92,75,social,1.0,1.2596316512602665,7.2809604338439575,19.531734167263917
208,hamo95,62,nonsocial,0.21082305407722376,3.3335274298004056,7.221999459518477,19.413812218612954
209,hamo95,16,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
210,hamo95,72,nonsocial,1.0,4.120556604433394,3.761184827334412,12.492182954244825
211,hamo95,84,nonsocial,0.2748474276739383,1.0,8.255349316285828,21.480511932147657
212,hamo95,39,social,1.0,1.0,7.679726532964001,20.329266365504004
213,hamo95,93,social,0.004169703477353595,50.0,8.215253761513363,21.400320822602726
214,hamo95,29,social,0.0060416737002733315,50.0,7.670601252920361,20.311015805416723
215,hamo95,83,social,1.0,1.4439675709290776,6.817588657003226,18.60499061358245
216,alka88,52,social,0.0,1.0,8.317766166719343,21.605345633014686
217,alka88,12,social,0.00956149923159789,50.0,6.407316383036362,17.784446065648726
218,alka88,38,social,0.4915954564668808,2.8833397240264143,6.212994273651455,17.39580184687891
219,alka88,66,social,0.030134552023543405,50.0,5.190474837483094,15.350762974542189
220,alka88,93,nonsocial,1.0,29.60061306054233,3.465736276315921,11.901285852207842
221,alka88,21,nonsocial,1.0,2.10289462754694,5.40365275305745,15.7771188056909
222,alka88,43,nonsocial,0.022902356481641552,50.0,5.530481284295423,16.030775868166845
223,alka88,59,nonsocial,0.3193074123516577,50.0,0.6936943195768017,6.357201938729604
224,elmi00,52,nonsocial,0.006087232481116249,50.0,7.804658678288194,20.57913065615239
225,elmi00,26,nonsocial,0.01182247453574228,50.0,6.316098679593119,17.60201065876224
226,elmi00,54,nonsocial,0.010239618427798886,50.0,7.377494849584533,19.724802998745066
227,elmi00,82,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
