left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.6682,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.5267,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.9017,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.7334,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.8115,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.5541,Incongruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,81,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,0.5411,,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.7575,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.763,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.6862,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
B,A,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.9623,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.0867,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.1106,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.5996,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.8272,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.673,Incongruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.8946,Congruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.214,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
B,A,91,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.1488,Congruent,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,81,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.9767,Congruent,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,45,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.9496,Incongruent,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,89,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,0.9751,Congruent,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1
