left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,57,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.4609,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,11,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,0.7629,Congruent,0,social,2,0,2,0,1,,,,,,,,,,
B,A,55,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.1654,Congruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,11,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.7416,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,57,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.5314,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,27,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,0.9882,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
A,B,55,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.6859,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,11,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.0962,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
A,B,55,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.2951,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,27,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.4558,Incongruent,1,social,2,0,2,0,1,,,,,,,,,,
A,B,57,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,1.9781,Incongruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
A,B,57,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,0.8906,Congruent,0,social,0,0,0,0,1,,,,,,,,,,
A,B,55,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,2.1751,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
A,B,27,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.3522,Incongruent,0,social,2,0,2,0,1,,,,,,,,,,
A,B,11,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.1774,Incongruent,0,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
B,A,27,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,2.1872,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
B,A,57,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.4253,Congruent,1,social,1,0,1,0,1,,,,,,,,,,
B,A,11,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.5251,Congruent,1,social,2,0,2,0,1,,,,,,,,,,
B,A,55,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.9757,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
