participant_x,AQ_score,Gender,participant_y,BlockType,Alpha_Win,Theta_Win,Rho_Win,Alpha_Loss,Theta_Loss,Rho_Loss,Neg_LL,BIC,MatchedID,Rho_Index,Ambi_Index_Alpha_Win,Ambi_Index_Alpha_Loss,Ambi_Index_Rho_Win,Ambi_Index_Rho_Loss
elmi00,1,female,elmi00,nonsocial,0.6828958048827564,3.619729061318541,0.5214288740519848,0.5000570791105119,1.0,0.4978265773946614,30.4900544850003,84.20731503544795,elmi00,0.023602296657323385,-0.033909947082581327,-0.2575141911240094,-0.20712753593141842,-0.0020852401106535856
elmi00,1,female,elmi00,social,0.7168057519653377,4.060125093340536,0.7285564099834032,0.7575712702345213,1.0,0.499911817505315,29.623142664249055,82.47349139394547,elmi00,0.22864459247808822,-0.033909947082581327,-0.2575141911240094,-0.20712753593141842,-0.0020852401106535856
fake01,17,female,fake01,social,0.796316371763581,2.501327258255239,0.7962351200589248,0.6934873120831967,1.0,0.5000086969768259,28.583930049202937,80.39506616385322,fake01,0.2962264230820989,-0.0007087702667354367,-0.24191582478628038,0.045461573878985306,-1.1337877978412347e-05
fake01,17,female,fake01,nonsocial,0.7956076014968456,2.6079023798953216,0.8416966939379101,0.4515714872969163,1.0,0.4999973590988475,29.61009943436112,82.44740493416958,fake01,0.3416993348390626,-0.0007087702667354367,-0.24191582478628038,0.045461573878985306,-1.1337877978412347e-05
fegr98,9,male,fegr98,nonsocial,0.795204763213645,4.760493085365466,0.9441175047452114,0.2725135292582721,1.126465011339372,0.4999999988113792,11.2504545459675,45.72811515738235,fegr98,0.4441175059338322,-0.015061138440074506,0.11047838782781749,-0.004010877677871227,0.0009125243295701746
fegr98,9,male,fegr98,social,0.8102659016537195,4.821413637468064,0.9481283824230826,0.1620351414304546,1.6425128278526924,0.499087474481809,12.20772103989415,47.64264814523565,fegr98,0.4490409079412736,-0.015061138440074506,0.11047838782781749,-0.004010877677871227,0.0009125243295701746
flcs96,9,female,flcs96,nonsocial,0.823917557019952,4.1066885137719495,0.942148682656496,0.1354158357546763,2.3598508998478156,0.4999999968218471,12.026133149286704,47.279472364020755,flcs96,0.4421486858346489,-0.015346921779735623,0.06795715593596041,0.010356461867867206,4.243108649298888e-05
flcs96,9,female,flcs96,social,0.8392644787996876,3.638245281714793,0.9317922207886288,0.0674586798187159,1.7047910194501943,0.4999575657353541,14.886931634613278,53.0010693346739,flcs96,0.4318346550532747,-0.015346921779735623,0.06795715593596041,0.010356461867867206,4.243108649298888e-05
flre91,11,male,flre91,nonsocial,0.7251696370312455,4.862894272518683,0.9306412863085538,0.6861104882734539,1.400155623857863,0.5000001541044615,14.409597709998058,52.04640148544347,flre91,0.4306411322040923,-0.0747518908583088,0.5171977072484892,-0.022190987275497398,0.0002458883153556024
flre91,11,male,flre91,social,0.7999215278895543,5.499655740025295,0.9528322735840512,0.1689127810249647,1.019832668673844,0.4997542657891059,18.790031248274666,60.80726856199668,flre91,0.4530780077949453,-0.0747518908583088,0.5171977072484892,-0.022190987275497398,0.0002458883153556024
flsc98,11,male,flsc98,nonsocial,0.8255929244191275,4.933168013578111,0.952189401658996,0.1407575962736068,2.336910857841679,0.4999999900410319,13.168958075223978,49.5651222158953,flsc98,0.4521894116179641,0.028111406326079447,0.026661345912533385,-0.006893576907610832,-1.4768056055824985e-07
flsc98,11,male,flsc98,social,0.797481518093048,5.733982917704194,0.9590829785666068,0.1140962503610734,2.338786525471766,0.5000001377215925,14.465147965484755,52.15750199641686,flsc98,0.4590828408450144,0.028111406326079447,0.026661345912533385,-0.006893576907610832,-1.4768056055824985e-07
flto91,7,female,flto91,social,0.7590259624341062,4.418551734150034,0.9188578085678206,0.265015595866206,1.0,0.4999999994411782,26.17848156783495,75.58416920111725,flto91,0.41885780912664244,-0.33043621805583145,0.23502712889133742,-0.11950815327165987,0.0003543034717246596
flto91,7,female,flto91,nonsocial,0.4285897443782748,3.216596071010312,0.7993496552961608,0.5000427247575434,1.0,0.5003543029129028,27.389987495204657,78.00718105585666,flto91,0.2989953523832579,-0.33043621805583145,0.23502712889133742,-0.11950815327165987,0.0003543034717246596
gava97,7,female,gava97,nonsocial,0.7115562850111902,4.36909216124881,0.9144218665551836,0.6705267157993076,1.0,0.494270768697752,19.119705858771532,61.46661778299041,gava97,0.42015109785743165,0.1884306623390033,0.46158473836145575,0.024311667492869837,-0.005556752464163983
gava97,7,female,gava97,social,0.5231256226721869,4.354994559273199,0.8901101990623138,0.2089419774378518,1.0,0.499827521161916,26.76917696673984,76.76555999892702,gava97,0.39028267790039783,0.1884306623390033,0.46158473836145575,0.024311667492869837,-0.005556752464163983
gefr88,12,male,gefr88,social,0.7661012056283782,5.081462984510867,0.9349028601759832,0.2588518653338094,1.0,0.5000000147431879,20.302595476569905,63.83239701858716,gefr88,0.43490284543279534,-0.03058700833259065,0.2840625973747403,-0.007425756716762821,-0.0025748534847084836
gefr88,12,male,gefr88,nonsocial,0.7355141972957876,4.800006271985523,0.9274771034592204,0.5429144627085497,1.223725533931253,0.4974251612584794,14.823347979092846,52.87390202363304,gefr88,0.430051942200741,-0.03058700833259065,0.2840625973747403,-0.007425756716762821,-0.0025748534847084836
giba96,10,male,giba96,social,0.8005205571257166,4.892978009905802,0.9503534300503692,0.1064751688069231,2.0023416935495515,0.4999999855484116,14.511611897090756,52.25042985962886,giba96,0.45035344450195763,0.002971440806942227,-0.029756931497240804,0.004541968741147984,-2.723874870186327e-05
giba96,10,male,giba96,nonsocial,0.8034919979326588,4.975478106485287,0.9548953987915172,0.0767182373096823,2.6060568933035424,0.4999727467997097,14.633123025842398,52.49345211713214,giba96,0.4549226519918075,0.002971440806942227,-0.029756931497240804,0.004541968741147984,-2.723874870186327e-05
guek86,9,female,guek86,nonsocial,0.6574865470102761,4.192176032747348,0.7850991770213792,0.743530880662812,1.0,0.5000000019559957,24.46916772259591,72.16554151063917,guek86,0.2850991750653835,-0.08697821119294535,0.6246395838893438,-0.11639349137582022,1.6070702869019904e-06
guek86,9,female,guek86,social,0.7444647582032214,4.122874926040023,0.9014926683971994,0.1188912967734682,1.0,0.4999983948857088,28.655032118017772,80.53727030148289,guek86,0.40149427351149064,-0.08697821119294535,0.6246395838893438,-0.11639349137582022,1.6070702869019904e-06
hese83,5,male,hese83,social,0.5000000243626017,4.421050868603746,0.6765782936090676,0.3998060049366365,1.0,0.499536198985881,29.42688474259082,82.08097555062898,hese83,0.17704209462318665,-0.14943227289582572,0.21223412152432014,0.03866717158621702,-2.2420488411167838e-05
hese83,5,male,hese83,nonsocial,0.350567751466776,3.1734757694607394,0.7152454651952846,0.6120401264609566,1.0,0.4995137784974698,28.03421119068746,79.29562844682226,hese83,0.21573168669781484,-0.14943227289582572,0.21223412152432014,0.03866717158621702,-2.2420488411167838e-05
chpo96,8,male,chpo96,nonsocial,0.7463818175585414,3.6911615990501065,0.7804139719354026,0.8185128856722603,1.0,0.4999953865977174,28.32346099397381,79.87412805339497,chpo96,0.2804185853376852,0.0009240851349443524,0.13831571680053445,-0.12618028773244816,4.860072898016377e-07
chpo96,8,male,chpo96,social,0.745457732423597,4.71812882792861,0.9065942596678508,0.6801971688717259,1.0,0.4999949005904276,19.22626713167436,61.679740328796065,chpo96,0.4065993590774232,0.0009240851349443524,0.13831571680053445,-0.12618028773244816,4.860072898016377e-07
ivmi00,5,female,ivmi00,nonsocial,0.4999999987860031,3.655124639505153,0.8565334277775809,0.1326567702221975,1.0,0.5061656714886273,31.95332992174256,87.13386590893248,ivmi00,0.35036775628895356,-0.014981445250165648,-0.026355487215971418,0.1518200888230724,0.006177084133354049
ivmi00,5,female,ivmi00,social,0.5149814440361687,3.8970284471933585,0.7047133389545085,0.1590122574381689,1.0,0.4999885873552733,32.98465197527745,89.19651001600225,ivmi00,0.2047247515992352,-0.014981445250165648,-0.026355487215971418,0.1518200888230724,0.006177084133354049
jame99,7,male,jame99,social,0.7886013087510504,4.755263099874266,0.929384826190851,0.3999115037833231,1.0,0.4999999099387949,21.2843607475016,65.79592756045055,jame99,0.42938491625205616,0.022876831699188527,-0.2742747356859615,-0.03464379204022505,8.569853671147598e-08
jame99,7,male,jame99,nonsocial,0.8114781404502389,3.3763214977773695,0.894741034150626,0.1256367680973616,1.0,0.4999999956373316,29.927571632141355,83.08234932973005,jame99,0.3947410385132944,0.022876831699188527,-0.2742747356859615,-0.03464379204022505,8.569853671147598e-08
joab01,8,female,joab01,nonsocial,0.7938791842612796,4.151821524203933,0.9385694631259688,0.2346151823352103,1.9066756703379573,0.5000061532522505,11.455965219861495,46.13913650517034,joab01,0.4385633098737183,-0.020608942926283347,0.07549219270770871,0.0032334124378767815,4.50889708025759e-06
joab01,8,female,joab01,social,0.8144881271875629,3.621505479340791,0.935336050688092,0.1591229896275016,2.299074593825576,0.5000016443551702,11.372446471379549,45.97209900820644,joab01,0.43533440633292175,-0.020608942926283347,0.07549219270770871,0.0032334124378767815,4.50889708025759e-06
juzi87,12,female,juzi87,nonsocial,0.7367308795436457,3.5044841874651076,0.691317374743173,0.461202741464112,1.0,0.4896364843278842,28.26586424260692,79.7589345506612,juzi87,0.2016808904152888,0.4077407561211998,-0.08794291461997183,0.15810851065730036,-0.010364381313033744
juzi87,12,female,juzi87,social,0.3289901234224459,3.582786298606018,0.5332088640858726,0.5491456560840838,1.0,0.500000865640918,31.57292366306753,86.3730533915824,juzi87,0.0332079984449547,0.4077407561211998,-0.08794291461997183,0.15810851065730036,-0.010364381313033744
kaba96,9,female,kaba96,nonsocial,0.7958437133454713,5.396409125263317,0.957464025056531,0.0983563446642747,2.3813542048567022,0.4999904856628533,15.572171654097788,54.37154937364292,kaba96,0.45747353939367774,0.004314702571701523,-0.012951122233998802,-0.0015707995137933528,-9.514169883373391e-06
kaba96,9,female,kaba96,social,0.7915290107737698,5.800138684312798,0.9590348245703244,0.1113074668982735,2.3488954437173333,0.4999999998327367,14.48671633487532,52.200638735197984,kaba96,0.4590348247375877,0.004314702571701523,-0.012951122233998802,-0.0015707995137933528,-9.514169883373391e-06
kaho97,8,female,kaho97,nonsocial,0.7908287883527675,4.696434548293205,0.9362658363165433,0.3712388977341708,1.4781754583637925,0.5000037342567359,21.42703173662696,66.08126953870126,kaho97,0.4362621020598073,0.19459088886238285,0.11991019241440498,0.03444766619283823,3.7349037168565857e-06
kaho97,8,female,kaho97,social,0.5962378994903846,4.148521368587634,0.901818170123705,0.2513287053197658,1.0,0.4999999993530191,25.845776880743937,74.91875982693523,kaho97,0.40181817077068593,0.19459088886238285,0.11991019241440498,0.03444766619283823,3.7349037168565857e-06
