Participant_ID,BlockType,Alpha_Win,Theta_Win,Rho_Win,Alpha_Loss,Theta_Loss,Rho_Loss,Neg_LL,BIC
sasu98,nonsocial,0.7228106292961677,3.610583162207134,0.7727020947957373,0.6392604817657673,1.0,0.5029957475342435,25.29512164062638,73.8174493467001
joab01,nonsocial,0.7966376328258813,4.136107807969459,0.9385104024090842,0.22483320277398053,1.9863269001211408,0.49999999967358766,11.45781494335991,46.14283595216717
joab01,social,0.8239309406135438,3.746040192993617,0.9391030522266667,0.16873005905392102,2.657332395497091,0.49999999722813415,11.40038745864772,46.02798098274279
udsc88,social,0.8002152433452835,3.874633454490136,0.9391691878662509,0.16903932893532608,2.5639393919186815,0.4798713201622873,12.17401667597369,47.57523941739473
udsc88,nonsocial,0.8020931998438952,4.998364893681616,0.9523849621981936,0.1116475333420002,1.501666393485471,0.4999999927702765,13.507941469500823,50.24308900444899
tred59,nonsocial,0.7612235530319788,5.326828930336006,0.9564984213967648,0.1948132837055943,2.212124383982008,0.5002992199500408,18.778304339182178,60.7838147438117
tred59,social,0.7367503236341181,3.571372649257011,0.9366928274116206,0.09371776201148148,2.3466669740003754,0.5262386723329222,26.5105016003651,76.24820926617755
juzi87,nonsocial,0.649667948484302,3.0223629434446124,0.7832694761890121,0.3693725456171051,1.0,0.4289294296283947,28.47390874265874,80.17502355076482
juzi87,social,0.32899012342244593,3.582786298606018,0.5332088640858726,0.5491456560840838,1.0,0.500000865640918,31.57292366306753,86.3730533915824
mabe00,nonsocial,0.6667861625212799,2.2370427574430325,0.7752268285240808,0.40815079242721913,1.0,0.5526088616142206,30.984837549872985,85.19688116519332
mabe00,social,0.5714242804891073,2.7846356535706303,0.8457220832523189,0.5415214992322951,1.0,0.4501935989254692,30.172226714592597,83.57165949463254
anpe97,nonsocial,0.6762878276246544,3.9997193509031974,0.9392585587455288,0.0711711988589844,1.0,0.5002074337091748,26.46355306326466,76.15431219197666
anpe97,social,0.2697217451228797,3.65710954694548,0.7735173254977452,0.7188762106616842,1.0,0.4999844355150153,24.397827491901914,72.02286104925118
yach03,nonsocial,0.5276315721580256,3.3171084755929057,0.8907885061271169,0.5312154780780513,1.0,0.49999996708351185,28.468327234569674,80.16386053458669
yach03,social,0.3548742683970894,3.1420172079481503,0.3813500340746217,0.2882201143375493,1.0,0.5184298281205725,33.65600469258166,90.53921545061067
gefr88,nonsocial,0.7340732162997063,4.870760680698651,0.9241555289028197,0.5073765210980763,1.2874500035663021,0.5971885923223818,14.887944244171981,53.003094553791314
gefr88,social,0.7676755197453157,5.269103509168888,0.9166977171930485,0.26394422614942503,1.0,0.49999997894569304,20.34123302749444,63.90967212043623
node99,social,0.4108773768617713,3.052626485934423,0.7368953443784794,0.8933175006708647,1.0,0.4560639582720055,24.81966427807746,72.86653462160227
node99,nonsocial,0.7317481003793105,5.416344852263289,0.9360747694640058,0.33518258247246524,1.0,0.4836875089163893,20.74088136252228,64.70896879049191
flre91,social,0.8037310214387604,5.533916944184822,0.9511816815233536,0.17289895324970697,1.0499098384251848,0.5000000105443809,18.791623366241133,60.810452797929614
flre91,nonsocial,0.7124270663348974,4.953776922054812,0.917238083219145,0.6891814935834948,1.4178511611792652,0.4719113175881228,14.440826549064106,52.10885916357556
kasi98,nonsocial,0.8225957614700621,4.2868798343023995,0.9421271950445078,0.10040985269392987,2.1655306756282777,0.4992256920886693,14.522934818135603,52.273075701718554
kasi98,social,0.9385477121384028,4.812093590464854,0.9495394039489521,0.2077640287515638,1.6924263912216768,0.5191431085282395,13.37475986781341,49.97672580107417
veri93,social,0.5858917236099311,1.0,0.5000363855767215,0.6783243564791345,1.161963581052179,0.49999196835905035,33.21195975850454,89.65112558245643
veri93,nonsocial,0.6517894039417953,2.9090832206644364,0.7004865654331233,0.7676181488534148,1.0,0.5000000185817641,32.85729134518915,88.94178875582564
alsp92,social,0.6263872391551466,1.0,0.25186854917773804,0.11739860493003644,1.0,0.4551879842564766,35.19686253127162,93.62093112799059
alsp92,nonsocial,0.7915152791157997,3.569531204730734,0.7643641946645203,0.6565693114285645,1.0,0.49999515025599817,23.703334384816795,70.63387483508095
dmal96,social,0.7168746829896703,4.826478770893802,0.9426279187085336,0.13362774329352703,1.0,0.4297970847301201,22.46098945172158,68.14918496889051
dmal96,nonsocial,0.8593179191172444,5.038657469849431,0.9509320225476714,0.22432105271774316,1.0,0.10805626446814014,19.977974826874974,63.183155719197295
ivmi00,nonsocial,0.49322586602496293,3.031937143960884,0.8385520561387935,0.13306820058242894,1.0,0.4091346364116435,32.134378112901935,87.49596229125122
ivmi00,social,0.5697242323424584,1.2069791180530345,0.2609529814294526,0.2950394472103579,1.0,0.5957153416683316,34.62902706385212,92.48526019315159
mira97,nonsocial,0.5696089235937936,4.233914916501232,0.9299709164381603,0.43047554200232263,1.0,0.49999300159891097,21.67927800268834,66.58576207082402
mira97,social,0.7290208985369842,4.482044171334724,0.949233992637102,0.3717629913514427,2.3693736471731413,0.49999998802984885,20.093292651541027,63.4137913685294
nito82,social,4.539799289674726e-05,3.8451780292365436,0.005758300519266736,0.20083241896642148,20.125111711057613,0.49999998649641414,139.65175466266948,302.5307153907863
